101,Single,199,1,1,1,1,0
102,Double,249,1,1,1,1,1
103,Twin,220,1,1,1,1,0
104,Single,189,1,1,0,1,0
105,Suite,400,1,1,1,1,1
106,Deluxe,450,0,1,1,1,1
107,Double,239,0,1,0,1,1
108,Twin,215,0,0,1,1,0
109,Single,180,0,0,1,0,0
110,Double,259,0,1,1,1,1
111,Suite,420,0,1,1,1,1
112,Deluxe,440,0,1,1,1,1
113,Twin,225,0,1,1,1,0
114,Single,195,0,1,0,1,0
115,Double,269,1,1,1,1,1
116,Suite,400,1,1,1,1,1
117,Deluxe,450,0,1,1,1,1
118,Double,239,0,1,0,1,1
119,Twin,215,1,0,1,1,0
120,Single,180,1,0,1,0,0
125,Single,250,0,1,0,1,1
